Id_chunk_data_gz,Id_chunk_llm_gz,dataini,datafim,total_ok,lista_id_err,status
000001,000001,2026-02-12T01:46:23.921446,,0,[],concluido
000002,000002,,,0,[],concluido
000003,000003,,,0,[],concluido
000004,000004,,,0,[],concluido
000005,000005,,,0,[],concluido
000006,000006,,,0,[],concluido
000007,000007,,,0,[],concluido
000008,000008,,,0,[],concluido
000009,000009,,,0,[],concluido
000010,000010,,,0,[],concluido
000011,000011,,,0,[],concluido
000012,000012,,,0,[],concluido
000013,000013,,,0,[],concluido
000014,000014,,,0,[],concluido
000015,000015,,,0,[],concluido
000016,000016,,,0,[],concluido
000017,000017,,,0,[],concluido
000018,000018,,,0,[],concluido
000019,000019,,,0,[],concluido
000020,000020,,,0,[],concluido
000021,000021,,,0,[],concluido
000022,000022,,,0,[],concluido
000023,000023,,,0,[],concluido
000024,000024,,,0,[],concluido
000025,000025,,,0,[],concluido
000026,000026,,,0,[],concluido
000027,000027,,,0,[],concluido
000028,000028,,,0,[],concluido
000029,000029,,,0,[],concluido
000030,000030,,,0,[],concluido
000031,000031,,,0,[],concluido
000032,000032,,,0,[],concluido
000033,000033,,,0,[],concluido
000034,000034,,,0,[],concluido
000035,000035,2026-02-12T03:02:26.145625,,0,[],em_processamento
000036,000036,2026-02-12T03:55:52.027062,,0,[],em_processamento
000037,000037,2026-02-12T04:14:01.277659,,0,[],em_processamento
000038,000038,2026-02-12T04:55:23.478915,,0,[],em_processamento
000039,000039,2026-02-12T05:26:43.718191,,0,[],em_processamento
000040,000040,2026-02-12T05:46:32.646294,,0,[],em_processamento
000041,000041,2026-02-12T17:43:34.883359,,0,[],em_processamento
000042,000042,2026-02-12T23:22:41.581489,,0,[],em_processamento
000043,000043,2026-02-13T03:02:25.115313,2026-02-13T03:13:20.255341,500,[],concluido
000044,000044,2026-02-13T03:13:26.890984,,0,[],em_processamento
000045,000045,2026-02-14T23:43:39.985216,2026-02-15T00:28:10.637071,500,[],concluido
000046,000046,2026-02-15T00:28:16.652870,2026-02-15T00:59:09.642508,500,[],concluido
000047,000047,2026-02-15T00:59:15.788083,2026-02-15T01:32:12.159190,500,[],concluido
000048,000048,2026-02-15T01:32:18.289553,2026-02-15T02:04:12.878721,499,[],concluido
000049,000049,2026-02-15T02:04:18.996248,2026-02-15T02:43:13.675561,500,[],concluido
000050,000050,2026-02-15T02:43:19.785145,2026-02-15T03:17:42.948727,500,[],concluido
000051,000051,2026-02-15T03:17:48.920727,2026-02-15T03:52:39.922774,500,[],concluido
000052,000052,2026-02-15T03:52:45.977596,2026-02-15T04:25:08.991712,500,[],concluido
000053,000053,2026-02-15T04:25:14.875417,2026-02-15T04:57:39.407217,499,"[""36149""]",concluido
000054,000054,2026-02-15T04:57:45.700213,2026-02-15T05:38:39.609863,500,[],concluido
000055,000055,2026-02-15T05:38:45.691227,2026-02-15T06:17:44.250502,500,[],concluido
000056,000056,2026-02-15T06:17:50.619021,2026-02-15T06:50:50.949699,500,[],concluido
000057,000057,2026-02-15T06:51:29.871380,2026-02-15T07:21:26.408956,500,[],concluido
000058,000058,2026-02-15T07:21:32.395386,2026-02-15T07:54:27.640881,500,[],concluido
000059,000059,2026-02-15T07:54:33.670330,2026-02-15T08:27:28.100378,500,[],concluido
000060,000060,2026-02-15T08:27:34.162682,2026-02-15T09:05:00.353690,500,[],concluido
000061,000061,2026-02-15T09:05:06.422838,2026-02-15T09:44:35.304238,500,[],concluido
000062,000062,2026-02-15T09:44:41.617892,2026-02-15T10:20:08.953157,499,"[""40973""]",concluido
000063,000063,2026-02-15T10:20:15.076683,2026-02-15T10:56:12.272808,500,[],concluido
000064,000064,2026-02-15T10:56:18.930035,2026-02-15T11:26:50.628341,500,[],concluido
000065,000065,2026-02-15T11:26:57.005967,2026-02-15T12:01:24.164453,499,"[""42336""]",concluido
000066,000066,2026-02-15T12:01:30.285143,2026-02-15T12:38:20.907839,499,[],concluido
000067,000067,2026-02-15T12:38:27.145986,2026-02-15T13:15:54.480981,500,[],concluido
000068,000068,2026-02-15T13:16:00.514048,2026-02-15T13:58:58.338185,500,[],concluido
000069,000069,2026-02-15T13:59:04.766471,2026-02-15T14:46:31.581389,499,"[""44269""]",concluido
000070,000070,2026-02-15T14:46:37.578589,2026-02-15T15:37:32.329442,500,[],concluido
000071,000071,2026-02-15T15:37:38.562242,,0,[],em_processamento
000072,000072,2026-02-16T04:51:02.625901,,0,[],em_processamento
000073,000073,2026-02-16T04:51:21.411450,,0,[],em_processamento
000074,000074,2026-02-16T04:51:41.100099,,0,[],em_processamento
000075,000075,2026-02-16T05:05:09.267103,2026-02-16T05:21:09.996495,499,"[""47392""]",concluido
000076,000076,2026-02-16T05:21:16.579576,2026-02-16T05:36:41.739031,500,[],concluido
000077,000077,2026-02-16T05:36:48.245038,,0,[],em_processamento
000078,000078,2026-02-16T05:52:23.065230,,0,[],em_processamento
