Id_chunk_data_gz,Id_chunk_llm_gz,dataini,datafim,total_ok,lista_id_err,status
1,1,2026-06-07T13:22:31.696720,2026-05-12T15:44:39.745653,0.0,"[""sem_tarefas""]",em_processamento
2,2,2026-06-07T13:22:45.425214,,,[],em_processamento
3,3,2026-06-07T13:22:59.243613,,,[],em_processamento
4,4,,,,[],pendente
5,5,,,,[],pendente
6,6,,,,[],concluido
7,7,,,,[],pendente
8,8,,,,[],pendente
9,9,,,,[],pendente
10,10,2026-06-07T13:22:32.906285,2026-05-12T15:44:41.375994,0.0,"[""sem_tarefas""]",em_processamento
11,11,2026-06-07T13:22:34.742537,2026-05-12T15:49:05.505734,0.0,"[""sem_tarefas""]",em_processamento
12,12,2026-06-07T13:22:35.752786,2026-05-12T15:54:38.284071,0.0,"[""sem_tarefas""]",em_processamento
13,13,2026-06-07T13:22:36.997653,,,[],em_processamento
14,14,2026-06-07T13:22:38.116159,,,[],em_processamento
15,15,2026-06-07T13:22:39.507046,,,[],em_processamento
16,16,2026-06-07T13:22:40.683639,,,[],em_processamento
17,17,2026-06-07T13:22:41.663723,,,[],em_processamento
18,18,2026-06-07T13:22:42.811220,,,[],em_processamento
19,19,2026-06-07T13:22:44.166755,,,[],em_processamento
20,20,2026-06-07T13:22:46.496041,,,[],em_processamento
21,21,2026-06-07T13:22:47.736120,,,[],em_processamento
22,22,2026-06-07T13:22:49.001432,,,[],em_processamento
23,23,2026-06-07T13:22:50.145997,,,[],em_processamento
24,24,2026-06-07T13:22:51.315748,,,[],em_processamento
25,25,2026-06-07T13:22:52.442812,,,[],em_processamento
26,26,2026-06-07T13:22:53.816120,,,[],em_processamento
27,27,2026-06-07T13:22:54.956488,,,[],em_processamento
28,28,2026-06-07T13:22:56.227326,,,[],em_processamento
29,29,2026-06-07T13:22:57.744578,,,[],em_processamento
30,30,,,,[],pendente
31,31,,,,[],pendente
32,32,,,,[],pendente
33,33,,,,[],pendente
34,34,,,,[],pendente
35,35,,,,[],pendente
36,36,,,,[],pendente
37,37,,,,[],pendente
38,38,,,,[],pendente
39,39,,,,[],pendente
40,40,,,,[],pendente
41,41,,,,[],pendente
42,42,,,,[],pendente
43,43,,,,[],pendente
44,44,,,,[],pendente
45,45,,,,[],pendente
46,46,,,,[],pendente
47,47,,,,[],pendente
48,48,,,,[],pendente
49,49,,,,[],pendente
50,50,,,,[],pendente
51,51,,,,[],pendente
52,52,,,,[],pendente
53,53,,,,[],pendente
54,54,,,,[],pendente
55,55,,,,[],pendente
56,56,,,,[],pendente
57,57,,,,[],pendente
58,58,,,,[],pendente
59,59,,,,[],pendente
60,60,,,,[],pendente
61,61,,,,[],pendente
62,62,,,,[],pendente
63,63,,,,[],pendente
64,64,,,,[],pendente
65,65,,,,[],pendente
66,66,,,,[],pendente
67,67,,,,[],pendente
68,68,,,,[],pendente
69,69,,,,[],pendente
70,70,,,,[],pendente
71,71,,,,[],pendente
72,72,,,,[],pendente
73,73,,,,[],pendente
74,74,,,,[],pendente
75,75,,,,[],pendente
76,76,,,,[],pendente
77,77,,,,[],pendente
78,78,,,,[],pendente
79,79,,,,[],pendente
80,80,,,,[],pendente
81,81,,,,[],pendente
82,82,,,,[],pendente
83,83,,,,[],pendente
84,84,,,,[],pendente
85,85,,,,[],pendente
86,86,,,,[],pendente
87,87,,,,[],pendente
88,88,,,,[],pendente
89,89,,,,[],pendente
90,90,,,,[],pendente
91,91,,,,[],pendente
92,92,,,,[],pendente
93,93,,,,[],pendente
94,94,,,,[],pendente
95,95,,,,[],pendente
96,96,,,,[],pendente
97,97,,,,[],pendente
98,98,,,,[],pendente
99,99,,,,[],pendente
100,100,2026-06-07T13:22:34.098600,2026-06-07T13:22:34.168490,0.0,"[""sem_tarefas""]",concluido
