chunk_enrich_id,chunk_dados_stf_id,total_registros,total_com_decisao,total_sem_decisao,dataini,datafim,status,erro_msg
000001,000001,500,394,106,2026-06-07T01:41:16.248996,2026-06-07T01:41:19.816541,processado,
000002,000002,500,312,188,2026-06-07T01:34:43.624530,2026-06-07T01:34:46.315065,processado,
000003,000003,500,380,120,2026-06-07T01:34:47.320318,2026-06-07T01:34:49.951101,processado,
000004,000004,500,340,160,2026-06-07T01:34:50.954752,2026-06-07T01:34:53.747423,processado,
000005,000005,500,309,191,2026-06-07T01:34:54.754068,2026-06-07T01:34:57.457224,processado,
000006,000006,500,449,51,2026-06-07T01:41:20.823846,2026-06-07T01:41:27.120134,processado,
000007,000007,500,385,115,2026-06-07T01:41:28.127674,2026-06-07T01:41:32.352506,processado,
000008,000008,500,376,124,2026-06-07T01:35:06.696001,2026-06-07T01:35:09.396699,processado,
000009,000009,534,391,143,2026-06-07T01:41:33.359271,2026-06-07T01:41:39.339624,processado,
000010,000010,500,381,119,2026-06-07T01:44:00.750221,2026-06-07T01:44:04.085908,processado,
000011,000011,500,325,175,2026-06-07T01:41:50.377089,2026-06-07T01:41:53.851232,processado,
000012,000012,500,391,109,2026-06-07T01:41:54.865547,2026-06-07T01:42:00.938842,processado,
000013,000013,500,351,149,2026-06-07T01:44:05.090617,2026-06-07T01:44:10.177754,processado,
000014,000014,500,371,129,2026-06-07T01:42:11.833419,2026-06-07T01:42:18.056730,processado,
000015,000015,547,466,81,2026-06-07T01:42:19.078816,2026-06-07T01:42:25.680811,processado,
000016,000016,500,254,246,2026-06-07T01:44:11.181252,2026-06-07T01:44:16.136401,processado,
000017,000017,500,361,139,2026-06-07T01:44:17.140264,2026-06-07T01:44:20.471448,processado,
000018,000018,500,308,192,2026-06-07T01:44:21.474982,2026-06-07T01:44:25.163916,processado,
000019,000019,500,345,155,2026-06-07T01:44:26.167470,2026-06-07T01:44:29.502976,processado,
000020,000020,500,372,128,2026-06-07T01:44:30.512089,2026-06-07T01:44:36.017078,processado,
000021,000021,500,316,184,2026-06-07T01:44:37.024863,2026-06-07T01:44:42.120711,processado,
000022,000022,500,363,137,2026-06-07T01:44:43.125311,2026-06-07T01:44:46.271187,processado,
000023,000023,500,357,143,2026-06-07T01:44:47.274942,2026-06-07T01:44:54.527413,processado,
